Row ID,event_date ,user id,traffic_source,device type,product category,page_view,add_to_cart,checkout,purchase,order_value(INR)
70,28/10/2024,5515,Paid Ads,Mobile,Sports,1,0,0,0,0
71,11/03/2025,6172,,Desktop,Beauty,1,0,0,,1999
72,04/06/2025,7388,Social,Mobile,Beauty,1,0,,0,
73,02/11/2024,6775,Paid Ads,Tablet,Beauty,1,1,0,,1999
74,13/04/2025,5315,Referral,Tablet,Beauty,0,1,0,0,0
75,10/05/2025,5252,Organic,Mobile,,1,1,0,0,2499
76,07/12/2024,8389,Social,Mobile,Home & Kitchen,1,0,0,0,1999
77,02/10/2024,8398,,,Home & Kitchen,1,0,1,0,1999
78,05/12/2024,8016,Organic,Desktop,Electronics,1,0,0,0,0
79,26/04/2025,8934,Email,Tablet,Home & Kitchen,1,0,0,1,0
80,11/03/2025,8137,Email,Tablet,,1,0,0,0,2499
81,19/11/2024,8555,Organic,Desktop,Fashion,1,1,0,0,1299
82,03/11/2024,5238,,,Beauty,1,0,1,0,1299
83,25/06/2025,8918,,Tablet,,1,,0,0,3499
84,25/06/2025,5996,Email,Mobile,Fashion,1,0,0,0,799
85,24/04/2025,5146,Referral,Desktop,Beauty,1,0,1,0,799
86,04/06/2025,7327,Organic,Desktop,Sports,1,0,1,0,0
87,03/06/2025,6185,Social,Desktop,Sports,1,1,0,0,
88,02/04/2025,7458,Email,Desktop,Sports,1,1,0,0,2499
89,18/05/2025,8009,Social,Tablet,,1,0,0,0,799
90,03/02/2025,5940,Referral,Desktop,Beauty,1,0,,0,1299
91,21/12/2024,6593,Paid Ads,,,1,0,0,,1299
92,16/01/2025,7487,Organic,,,1,0,0,0,0
93,04/10/2024,7314,,Desktop,Home & Kitchen,1,1,0,0,1999
94,03/01/2025,6298,,,Fashion,1,1,1,0,1999
95,08/11/2024,8763,Email,Tablet,,1,0,0,0,
96,12/04/2025,6694,Organic,,Sports,,1,0,0,1299
97,15/06/2025,7842,Organic,Tablet,Electronics,1,0,0,0,0
98,09/05/2025,5633,,Desktop,Electronics,1,0,0,,799
99,20/12/2024,6103,Paid Ads,Tablet,Electronics,1,1,0,0,0
100,08/04/2025,6015,Email,Mobile,,1,0,0,,1999
101,26/05/2025,7447,Email,Mobile,Sports,1,0,1,,0
102,29/01/2025,6779,Organic,Tablet,Fashion,1,1,1,0,0
103,11/10/2024,7103,Organic,Tablet,,1,0,0,0,
104,08/12/2024,8285,,Desktop,Electronics,,0,,0,799
105,29/10/2024,8830,Paid Ads,Tablet,Beauty,1,0,1,0,2499
106,22/02/2025,8320,Paid Ads,Mobile,Fashion,0,,0,,0
107,04/11/2024,6355,,Mobile,,1,,0,0,0
108,11/11/2024,7551,Referral,Tablet,,1,0,1,,1999
109,01/10/2024,5898,Email,Mobile,Sports,1,1,1,1,0
110,03/04/2025,5660,Email,Tablet,Fashion,1,0,0,0,1299
111,08/03/2025,6501,Organic,Desktop,Home & Kitchen,0,0,0,1,3499
112,02/10/2024,6284,Organic,Desktop,Sports,1,0,0,1,1999
113,12/04/2025,5428,Referral,Desktop,Sports,1,1,0,1,1999
114,06/11/2024,5026,Paid Ads,Desktop,Electronics,1,0,1,0,799
115,27/01/2025,7730,,,Fashion,1,0,0,,2499
116,08/06/2025,7751,Organic,Desktop,Sports,0,0,0,,3499
117,31/03/2025,7757,Referral,Desktop,Beauty,1,1,0,0,2499
118,17/06/2025,8759,Referral,Desktop,,1,0,0,0,0
119,21/06/2025,5559,Organic,Desktop,Fashion,1,0,1,0,2499
120,10/03/2025,5647,Email,,Sports,1,0,0,0,1299
121,31/03/2025,7850,Paid Ads,,Beauty,1,0,0,1,799
122,03/01/2025,8397,Email,Mobile,Fashion,,1,0,0,0
123,11/10/2024,7793,Organic,Desktop,,0,1,1,0,1299
124,01/03/2025,5053,Referral,,Sports,,0,0,1,0
125,25/05/2025,8781,Social,Desktop,Sports,0,0,0,0,1299
126,15/05/2025,7615,Organic,Tablet,Sports,1,,0,0,2499
127,29/04/2025,7374,Email,Tablet,,1,1,0,0,799
128,30/12/2024,7593,Social,Mobile,,,1,1,0,2499
129,06/05/2025,6429,Referral,Tablet,Fashion,0,0,0,,0
130,23/01/2025,8870,Organic,Desktop,Sports,1,0,0,1,0
131,28/06/2025,7592,Paid Ads,Tablet,Home & Kitchen,1,1,0,0,0
132,19/05/2025,5379,,Desktop,Home & Kitchen,,1,1,,2499
133,09/02/2025,6438,Referral,Tablet,,1,0,0,0,1299
134,04/03/2025,5418,Organic,Desktop,Home & Kitchen,1,0,,1,1999
135,26/06/2025,7781,Referral,Desktop,Fashion,1,1,1,1,3499
136,21/04/2025,6598,Organic,Desktop,Sports,1,0,,0,1299
137,27/05/2025,8558,,,Sports,1,0,0,0,799
138,09/01/2025,8633,Referral,,,,0,0,0,0
139,17/06/2025,8136,,Mobile,,1,0,0,0,3499
140,11/02/2025,5791,,Mobile,,0,0,0,0,
141,17/03/2025,7650,,,Electronics,1,0,1,1,1999
142,17/02/2025,5892,Paid Ads,Desktop,Beauty,1,1,1,0,1999
143,01/10/2024,8772,Organic,Mobile,Sports,0,0,1,1,799
144,08/06/2025,5670,Email,,Beauty,1,0,0,0,1999
145,16/04/2025,8217,Paid Ads,,Fashion,1,1,0,,1999
146,09/01/2025,5706,Paid Ads,Desktop,Sports,1,0,0,0,1299
147,12/04/2025,8032,Referral,Mobile,Sports,1,1,0,0,1999
148,07/05/2025,5388,Paid Ads,,Beauty,0,1,0,0,0
149,27/04/2025,7695,Organic,Desktop,Electronics,1,,0,0,3499
150,27/06/2025,8359,Social,Mobile,Sports,1,,1,1,
151,19/12/2024,7959,Social,Desktop,Sports,1,1,0,1,799
152,03/10/2024,5625,Referral,,,0,1,,,2499
153,29/01/2025,6264,Referral,Desktop,Fashion,1,0,0,0,1999
154,15/12/2024,5807,Paid Ads,Tablet,Fashion,1,0,1,0,1299
155,23/12/2024,8585,Organic,,Sports,1,0,,0,1299
156,20/12/2024,7200,Referral,,Sports,1,0,0,0,0
157,18/12/2024,5104,Referral,Tablet,Sports,0,0,0,0,3499
158,08/10/2024,7600,Referral,,,0,1,1,0,3499
159,20/01/2025,8177,Referral,Desktop,Sports,1,,0,0,1299
160,14/05/2025,8867,Referral,Tablet,,0,1,0,0,
161,16/02/2025,5206,Paid Ads,Desktop,Beauty,1,,0,0,3499
162,12/01/2025,7488,Email,Desktop,Beauty,1,,,0,3499
163,01/11/2024,5627,Paid Ads,,Sports,1,0,0,0,799
164,28/02/2025,6836,Referral,Tablet,,1,,0,0,1299
165,11/04/2025,6764,Referral,Mobile,Home & Kitchen,1,1,0,0,1999
166,18/10/2024,7283,Email,Desktop,Fashion,0,0,0,1,2499
167,15/06/2025,8850,Social,Desktop,Fashion,1,0,,1,799
168,16/04/2025,5161,Paid Ads,Mobile,Sports,1,,0,0,
169,03/05/2025,5988,,,,1,1,0,0,0
170,22/10/2024,5009,Paid Ads,Desktop,Electronics,1,1,0,0,1999
171,14/12/2024,6272,,Desktop,,0,0,0,0,0
172,16/10/2024,5820,Organic,Desktop,Sports,1,1,,0,
173,30/04/2025,5070,,Mobile,,1,1,,0,2499
174,26/01/2025,8797,Referral,Mobile,,1,0,0,1,1999
175,13/12/2024,6355,Social,Desktop,Electronics,1,0,1,1,1999
176,02/12/2024,7467,,Desktop,Beauty,0,0,0,1,3499
177,24/11/2024,5409,Paid Ads,,,1,0,0,0,799
178,26/11/2024,5929,Referral,Mobile,Home & Kitchen,1,0,0,0,2499
179,24/03/2025,7819,Paid Ads,Mobile,Fashion,0,0,0,0,3499
180,10/01/2025,6465,Referral,Desktop,Electronics,1,0,0,,3499
181,22/04/2025,6406,,Desktop,Beauty,1,0,1,0,1999
182,25/12/2024,5179,,,Home & Kitchen,1,0,0,0,799
183,08/03/2025,5265,Referral,,Beauty,0,1,1,0,
184,24/11/2024,5473,Email,Desktop,Beauty,1,1,0,,0
185,20/01/2025,7857,Email,Mobile,Fashion,1,0,0,0,
186,27/01/2025,5393,,Desktop,Home & Kitchen,0,0,0,0,2499
187,06/06/2025,5448,Referral,,Electronics,1,0,0,0,
188,15/05/2025,8134,Organic,Tablet,,1,0,0,,
189,15/12/2024,8814,Paid Ads,Mobile,Sports,1,0,1,,1999
190,07/02/2025,8099,Social,Mobile,Home & Kitchen,1,1,0,,2499
191,03/04/2025,6273,,Mobile,Electronics,1,1,1,,1299
192,15/05/2025,5573,Paid Ads,,Fashion,1,0,0,0,2499
193,26/02/2025,7099,Referral,,,,1,0,,799
194,09/05/2025,7199,Referral,Mobile,,0,0,0,0,2499
195,04/10/2024,6115,Social,Tablet,Fashion,1,0,1,0,2499
196,11/04/2025,5540,Referral,Tablet,Sports,,0,1,0,1299
197,30/05/2025,8247,Referral,,,1,0,0,0,
198,15/03/2025,6566,,Tablet,Electronics,0,0,0,0,2499
199,02/02/2025,5116,Email,,Fashion,1,0,0,0,2499
200,02/02/2025,8295,Organic,Mobile,Home & Kitchen,1,0,,0,799
201,24/11/2024,5307,Social,,Sports,0,0,0,0,3499
202,30/01/2025,7235,Email,Desktop,Beauty,1,1,1,0,2499
203,13/12/2024,5588,Referral,Tablet,,1,0,1,0,1999
204,23/02/2025,5728,Email,Desktop,Home & Kitchen,1,0,0,0,2499
205,17/04/2025,7362,Referral,Tablet,Beauty,1,0,,0,3499
206,15/06/2025,8511,Organic,Desktop,Home & Kitchen,1,0,0,0,3499
207,20/05/2025,5315,,Mobile,Beauty,1,,0,0,1999
208,11/06/2025,5314,Email,Mobile,Beauty,1,0,0,,
209,31/10/2024,7986,Paid Ads,Desktop,Fashion,1,1,1,1,3499
210,06/01/2025,6231,,Mobile,Electronics,1,0,0,,2499
211,23/11/2024,6845,Email,Desktop,Home & Kitchen,1,0,1,0,
212,19/10/2024,5892,Organic,Desktop,Sports,1,,0,,2499
213,30/11/2024,8321,Referral,Mobile,Sports,1,1,0,0,1999
214,04/04/2025,5507,Referral,,Home & Kitchen,1,0,1,,
215,04/01/2025,5287,,Mobile,Electronics,1,1,,0,2499
216,22/10/2024,7732,Organic,,Sports,1,0,0,0,1999
217,25/05/2025,6045,Organic,,,0,0,,0,0
218,28/05/2025,5784,Paid Ads,Tablet,Electronics,1,1,0,0,0
219,01/03/2025,8540,Paid Ads,Desktop,Beauty,1,0,0,1,
220,05/06/2025,6961,Email,Desktop,,0,0,0,0,3499
221,04/11/2024,7957,Organic,Mobile,Electronics,1,0,0,0,3499
222,20/10/2024,5617,Organic,Desktop,Sports,1,0,0,,1299
223,16/12/2024,5338,,Desktop,Home & Kitchen,1,0,0,1,799
224,16/04/2025,5661,Referral,Desktop,,1,0,0,0,1299
225,11/02/2025,7870,Referral,Tablet,,,0,,0,2499
226,11/03/2025,7660,Social,Mobile,Fashion,1,0,1,1,3499
227,02/11/2024,8460,Social,Desktop,Fashion,1,0,1,1,3499
228,01/04/2025,8596,Referral,Tablet,Electronics,1,,1,,0
229,31/01/2025,8986,Organic,Mobile,,1,0,0,0,2499
230,13/03/2025,7243,Social,Mobile,Electronics,1,0,0,0,
231,13/03/2025,5723,Paid Ads,Mobile,Electronics,1,1,1,0,3499
232,18/05/2025,5666,,,Home & Kitchen,1,1,1,,3499
233,25/10/2024,5228,,Tablet,Electronics,0,,1,0,1299
234,03/12/2024,7879,Paid Ads,Tablet,Beauty,1,0,0,0,
235,26/11/2024,6349,Email,Desktop,Electronics,0,,1,1,2499
236,20/06/2025,6136,Organic,Mobile,Electronics,1,,0,0,2499
237,29/05/2025,5626,Email,Desktop,Fashion,1,0,0,0,1999
238,14/01/2025,8977,Social,Mobile,Fashion,1,1,,0,
239,21/12/2024,5503,Referral,Desktop,Fashion,1,1,0,1,
240,07/05/2025,7282,Email,Desktop,Sports,1,1,1,,0
241,11/06/2025,7867,Referral,Mobile,Beauty,0,1,0,0,799
242,09/06/2025,6912,Social,,Home & Kitchen,1,1,0,,2499
243,28/02/2025,8778,Social,,Sports,0,0,0,0,799
244,11/06/2025,6606,,Mobile,Home & Kitchen,1,1,1,,1299
245,13/02/2025,7323,Paid Ads,Mobile,,1,0,0,0,1299
246,01/11/2024,5284,Paid Ads,,,1,0,0,0,799
247,03/01/2025,6608,Social,,Fashion,1,1,0,1,1299
248,28/06/2025,5566,Social,Tablet,Fashion,1,0,0,0,3499
249,26/03/2025,5523,,Mobile,Home & Kitchen,1,0,0,0,799
250,20/01/2025,5482,Referral,Tablet,Home & Kitchen,1,0,0,,1999
251,17/05/2025,7604,Paid Ads,Desktop,Home & Kitchen,1,0,0,0,799
252,10/05/2025,8202,Social,Desktop,Fashion,1,0,0,1,799
253,20/12/2024,7921,Social,,,0,1,1,0,2499
254,20/05/2025,6881,Social,Mobile,Home & Kitchen,1,1,0,0,2499
255,18/02/2025,8777,Organic,Tablet,,1,0,0,1,0
256,14/04/2025,6517,Email,Tablet,,1,1,0,0,1299
257,18/11/2024,8482,Organic,Tablet,Home & Kitchen,1,0,0,0,1999
258,07/03/2025,8814,,,,0,0,0,0,2499
259,24/05/2025,7011,Referral,,Sports,1,0,0,0,1999
260,20/04/2025,6633,,,Electronics,1,0,0,0,
261,16/02/2025,5900,Social,Desktop,Sports,1,0,0,0,3499
262,15/06/2025,5227,Paid Ads,Desktop,Fashion,1,0,0,0,1999
263,10/06/2025,7138,Paid Ads,Mobile,Home & Kitchen,0,0,0,0,3499
264,01/01/2025,8071,Referral,,Beauty,,,0,1,1999
265,06/05/2025,8936,Social,Mobile,Beauty,1,1,0,0,1999
266,03/06/2025,8676,Organic,,,1,1,0,1,1999
267,15/01/2025,8027,Email,,Electronics,1,0,0,,1999
268,09/04/2025,8197,Social,Mobile,Home & Kitchen,1,,,0,1299
269,31/01/2025,5279,Social,,Electronics,1,0,0,0,
270,27/03/2025,5655,Organic,Tablet,Sports,0,1,0,0,3499
271,07/04/2025,5718,Paid Ads,Mobile,Electronics,1,1,0,0,3499
272,26/12/2024,6142,Email,,,1,1,0,0,1299
273,12/12/2024,5272,,,Fashion,1,1,0,0,1299
274,06/11/2024,7173,Email,,Beauty,0,1,0,1,
275,14/12/2024,8912,Paid Ads,Tablet,Fashion,1,0,0,0,2499
276,07/06/2025,5903,Organic,Desktop,Fashion,1,0,1,0,2499
277,01/11/2024,8492,Email,Desktop,Beauty,1,0,0,0,0
278,27/10/2024,8938,Email,Desktop,Beauty,0,1,0,0,2499
279,12/10/2024,8365,Referral,Mobile,Beauty,1,0,0,0,2499
280,29/11/2024,7392,Social,Tablet,Beauty,1,0,0,0,1299
281,20/06/2025,5006,Organic,Desktop,Sports,1,0,0,,0
282,10/04/2025,6302,Organic,Tablet,Sports,1,0,,0,799
283,08/01/2025,5015,Paid Ads,,Fashion,0,,0,0,0
284,01/03/2025,5942,Email,Tablet,,1,1,,0,
285,17/11/2024,8969,Paid Ads,Tablet,Sports,1,1,0,0,1999
286,17/03/2025,6935,Social,Mobile,Fashion,1,0,0,0,2499
287,21/02/2025,8381,Social,Mobile,,,0,0,0,
288,16/02/2025,8905,Referral,Desktop,,1,1,0,0,799
289,24/12/2024,5937,Paid Ads,Mobile,,1,1,,1,799
290,19/04/2025,5445,Social,Mobile,Sports,1,0,1,1,1999
291,10/05/2025,5573,Referral,,,1,0,0,0,1999
292,06/10/2024,5067,Social,,Fashion,1,0,0,0,
293,02/04/2025,8611,Organic,Tablet,Fashion,1,1,0,0,1299
294,29/04/2025,6883,Organic,Desktop,Fashion,1,1,0,0,
295,14/02/2025,6839,Referral,Desktop,Sports,1,1,0,0,799
296,08/10/2024,6590,Paid Ads,,Home & Kitchen,1,0,0,1,799
297,03/06/2025,7502,Organic,Desktop,Home & Kitchen,0,0,0,0,3499
298,04/03/2025,5230,Paid Ads,Mobile,Beauty,1,0,0,0,2499
299,25/05/2025,6298,Referral,Tablet,Home & Kitchen,,0,0,0,1999
300,14/11/2024,8419,,Tablet,,1,0,0,1,799
301,02/11/2024,8745,,Tablet,Sports,1,0,0,1,2499
302,11/04/2025,5047,Email,Desktop,,1,1,,0,799
303,01/05/2025,7765,Organic,Tablet,Home & Kitchen,1,1,1,1,2499
304,03/10/2024,7936,Referral,Mobile,Home & Kitchen,1,0,1,0,1999
305,25/04/2025,7016,Email,Mobile,,1,0,0,0,3499
306,26/04/2025,5505,Paid Ads,,Fashion,0,1,1,0,0
307,17/11/2024,5710,Organic,,Sports,1,0,0,,1999
308,14/06/2025,6215,Referral,Tablet,Fashion,1,0,0,0,0
309,27/12/2024,7788,Organic,Desktop,,1,0,1,0,3499
310,25/10/2024,8527,Paid Ads,Tablet,Fashion,1,0,,1,3499
311,16/01/2025,8051,Email,Tablet,Electronics,1,0,1,0,1299
312,25/12/2024,7366,Social,Desktop,Fashion,1,,0,0,799
313,29/03/2025,5589,Paid Ads,Mobile,Beauty,1,0,1,0,1299
314,04/12/2024,5175,,Desktop,Sports,0,0,0,0,0
315,12/02/2025,8126,Social,Tablet,Sports,1,0,0,0,0
316,25/03/2025,8950,,Mobile,Beauty,0,0,1,0,1999
317,09/04/2025,5367,Social,Tablet,Electronics,1,1,0,0,799
318,19/02/2025,7852,,Desktop,,1,0,0,0,2499
319,31/01/2025,5885,,,Beauty,1,1,0,0,1999
320,04/03/2025,5095,Social,Mobile,Sports,1,0,0,1,1999
321,10/01/2025,5860,Paid Ads,Tablet,Electronics,1,0,0,1,0
322,25/04/2025,8303,Email,,Beauty,,0,0,0,1999
323,23/06/2025,7389,Paid Ads,Tablet,Electronics,1,0,0,0,
324,24/12/2024,5944,Social,Mobile,,0,1,0,0,
325,17/11/2024,8116,Referral,,,1,0,0,,1299
326,16/06/2025,7489,Paid Ads,Tablet,,1,0,0,1,3499
327,16/10/2024,7493,Email,Tablet,Beauty,1,0,0,0,799
328,21/11/2024,8092,Organic,Desktop,,1,1,0,1,0
329,21/03/2025,6052,Paid Ads,,Beauty,1,0,0,,799
330,21/12/2024,5614,Referral,Tablet,Home & Kitchen,1,1,0,0,3499
331,11/11/2024,6622,Referral,,,1,0,0,0,3499
332,15/11/2024,7074,,Mobile,,1,,0,0,1999
333,14/12/2024,5632,Email,Desktop,Beauty,1,,1,0,1299
334,16/10/2024,5677,Organic,Mobile,Electronics,1,0,0,0,1299
335,05/02/2025,6983,Paid Ads,Mobile,Fashion,1,1,0,0,799
336,03/10/2024,7281,Email,Desktop,,1,0,0,0,
337,14/03/2025,6962,,Desktop,,1,1,0,0,2499
338,24/01/2025,7915,Referral,Desktop,,0,0,,0,3499
339,10/11/2024,6532,,Tablet,Electronics,,0,0,0,
340,09/06/2025,6714,Referral,Mobile,Electronics,1,0,,0,0
341,17/06/2025,8872,Social,,Home & Kitchen,0,0,1,0,799
342,02/03/2025,7418,Referral,Mobile,Beauty,0,1,,1,3499
343,21/02/2025,6132,Paid Ads,Mobile,Beauty,1,1,0,,2499
344,08/05/2025,5734,,Tablet,,1,0,,0,
345,18/11/2024,7385,Organic,Tablet,,1,0,0,0,799
346,22/10/2024,7341,Organic,,Fashion,1,0,1,1,799
347,17/01/2025,6003,Referral,Desktop,Home & Kitchen,1,1,0,0,
348,28/11/2024,7004,Referral,Desktop,,1,0,0,0,
349,20/11/2024,7163,Organic,Tablet,Electronics,1,1,1,1,799
350,15/02/2025,6583,Organic,Desktop,Beauty,0,1,0,,
351,19/06/2025,6136,Social,,Sports,1,0,0,1,2499
352,27/05/2025,6985,Referral,Desktop,,1,1,0,0,2499
353,10/05/2025,7512,Organic,Mobile,Home & Kitchen,1,0,0,0,0
354,23/04/2025,6059,Social,Mobile,Sports,1,1,0,1,0
355,24/06/2025,7472,Paid Ads,,Sports,1,0,0,0,799
356,07/01/2025,5413,Social,Desktop,Sports,1,0,0,0,0
357,20/06/2025,7904,,Desktop,,1,0,0,0,0
358,03/06/2025,5598,,Desktop,Fashion,0,0,0,0,2499
359,08/01/2025,8815,Social,Desktop,,1,0,0,1,2499
360,08/03/2025,5930,Paid Ads,,Home & Kitchen,1,1,,0,2499
361,19/02/2025,7484,Referral,Desktop,,1,0,0,0,1999
362,18/11/2024,5080,Organic,Tablet,Fashion,1,1,1,0,
363,18/05/2025,8947,Paid Ads,Desktop,Home & Kitchen,1,,1,0,2499
364,16/01/2025,6886,Referral,Tablet,Sports,1,1,0,0,799
365,06/06/2025,7439,Referral,Mobile,,1,,1,,1999
366,23/01/2025,7194,Email,Tablet,,0,0,,0,2499
367,29/11/2024,6202,,Mobile,Sports,1,1,1,0,2499
368,10/05/2025,8378,Email,Desktop,Fashion,1,0,0,0,799
369,18/05/2025,8006,Paid Ads,Tablet,Home & Kitchen,1,0,0,0,799
370,28/12/2024,7452,Paid Ads,Tablet,Home & Kitchen,1,0,0,0,0
371,01/11/2024,8200,Referral,Tablet,,1,1,0,0,
372,30/10/2024,5917,Referral,Tablet,Fashion,1,0,0,1,0
373,09/12/2024,6327,Social,,,1,0,,0,0
374,19/06/2025,5231,Social,,Electronics,1,0,1,0,3499
375,27/03/2025,6759,Email,,Sports,1,0,1,0,3499
376,07/01/2025,5495,Email,Tablet,,1,0,0,0,1999
377,05/02/2025,8500,Organic,Desktop,Beauty,,,0,1,799
378,04/11/2024,7988,Social,Tablet,Fashion,1,0,1,0,799
379,22/06/2025,6367,Organic,Mobile,Beauty,0,1,0,0,1299
380,09/01/2025,5294,Paid Ads,Tablet,Sports,1,0,,0,2499
381,14/05/2025,7180,Referral,Desktop,,1,1,0,1,1299
382,29/04/2025,7706,Referral,Desktop,,,,1,0,1999
383,26/01/2025,8199,Referral,Tablet,Beauty,1,0,1,0,3499
384,25/03/2025,8663,,Mobile,Electronics,1,1,1,1,2499
385,14/01/2025,7949,Paid Ads,Desktop,Electronics,1,1,0,0,799
386,23/11/2024,5450,Paid Ads,Tablet,Beauty,1,0,,,1999
387,31/12/2024,5162,Social,Tablet,Fashion,0,,,0,0
388,09/10/2024,7955,Referral,Desktop,Home & Kitchen,1,0,0,0,799
389,02/06/2025,7959,Social,Tablet,Home & Kitchen,1,1,0,0,1299
390,23/06/2025,8668,Social,Tablet,Electronics,,1,0,0,1999
391,01/11/2024,7668,,Tablet,Sports,1,0,1,0,799
392,21/10/2024,6967,Paid Ads,Mobile,Beauty,1,,0,,799
393,26/11/2024,5350,Email,,,0,1,0,0,2499
394,03/01/2025,5841,Paid Ads,Desktop,Fashion,1,0,0,0,1999
395,11/01/2025,6574,Referral,Desktop,Sports,1,0,,0,799
396,11/03/2025,8294,Email,,Sports,1,1,0,0,3499
397,10/05/2025,5005,Referral,Desktop,,1,1,,0,1299
398,11/10/2024,5961,Email,Mobile,Beauty,1,1,1,0,0
399,01/06/2025,7142,Social,Tablet,Beauty,0,0,0,0,3499
400,05/02/2025,5839,Referral,,,,1,0,0,0
401,05/03/2025,5688,Social,Desktop,,0,,1,0,
402,26/01/2025,5201,Email,,,1,0,0,1,3499
403,26/12/2024,7498,Referral,Mobile,Electronics,0,0,0,1,3499
404,17/05/2025,6535,Referral,Desktop,Electronics,1,0,1,0,3499
405,10/05/2025,7893,Social,,Sports,1,1,0,0,
406,03/11/2024,6619,Social,,,0,,0,0,799
